parameter.mean	parameter.median	parameter.sd	parameter.lower.ci	parameter.upper.ci
-2.66535912288572	-2.60495603604595	3.38220536170928	-9.50738900158208	3.76559300382355
-2.44612550807168	-2.37563497416038	3.4213844171523	-9.330542447185	4.19680532903638
-2.39203168798891	-2.31883979664717	3.39224832794094	-9.26569108066488	4.04722925084431
-2.24748250461369	-2.17518171173331	3.40183913151134	-9.12535366636586	4.09171821951514
2.02344663286554	1.91312108840627	3.43099527545758	-4.43232765386211	9.01909555134793
2.20633031327729	2.10817366874886	3.45832975776102	-4.18648030982557	9.26283798120199
2.29474331687408	2.17989220398902	3.38495863971658	-4.10665411557189	9.18264674592069
2.33411716107528	2.27149734072196	3.41555174533443	-4.15404895820201	9.20341793082483
-2.90077555891815	-2.83261101566731	3.64065326989294	-10.2780056582399	4.0720794533568
-2.64664920215172	-2.57431244151274	3.68300972570464	-10.1305907296361	4.43752441708746
-2.58783367608206	-2.48775566720628	3.66282496764008	-9.97788387449854	4.31989356839744
-2.39406936874436	-2.30790102891963	3.65686159501282	-9.74842788468251	4.53311088740158
2.16885986913852	2.07545833230255	3.69277740996839	-4.72550102095838	9.75817752274442
2.37213616769023	2.25922663700034	3.720214819225	-4.6280446809231	9.98401983029195
2.45273597955513	2.36004463956147	3.64049800818571	-4.51451088558318	9.8497031753231
2.54504067992712	2.50310006861406	3.67874593698794	-4.46328306274023	9.9271738027752
-3.12457392157555	-3.03677474671397	3.8609094278779	-10.9032762394456	4.24841200627419
-2.80933551297696	-2.69780928719763	3.89627691528476	-10.7050366616811	4.67662118876527
-2.7608204578901	-2.6449432752608	3.88582178048192	-10.7743241037654	4.59901798469147
-2.51803451279735	-2.43047606781104	3.89288698402462	-10.3616365787434	4.83347519045007
2.25963706848004	2.145362674532	3.94209979891542	-5.13379354302977	10.2984551282185
2.52057876326651	2.38248823615851	3.94647404079546	-4.85888281908909	10.7038804839044
2.6083550831954	2.53118767926156	3.85415476414674	-4.75369124907663	10.380846311156
2.73125980175528	2.67170402136492	3.91298809225993	-4.7004110804924	10.6035964597863
-3.3259154876736	-3.20809796780305	4.04473714604864	-11.4229905978642	4.39565504535986
-2.96014390080353	-2.85711916508551	4.07604202023261	-11.2034103861709	4.82331456507139
-2.86176873388869	-2.72973779759672	4.08243737442397	-11.3272976793566	4.82986383635683
-2.61648688002652	-2.48776576663545	4.07690322318716	-10.932295495725	5.03358462304023
2.32013614748016	2.19140375135578	4.12299779522071	-5.36355619252459	10.7549240750433
2.61410481151269	2.47936737652435	4.12448343971575	-5.11304181728821	11.0931338112827
2.73172231572526	2.65908787623284	4.02343115581244	-4.88710998246575	10.8816232735837
2.86606051083388	2.82237623551332	4.10499254972628	-4.93735534781718	11.1073681038028
-3.51508319699829	-3.4449889772689	4.2255010064224	-12.1115970661359	4.52712670187448
-3.08869587064893	-3.03885458569691	4.25675559346925	-11.6412809178944	5.03352891440875
-2.97848452842109	-2.86257110327152	4.24593467590516	-11.7620521048016	4.96821882935297
-2.71206803483201	-2.58631770507499	4.24758015973475	-11.4128857912176	5.22174481731058
2.38792248434268	2.29359622948163	4.28296304703676	-5.68765978442556	11.2432649580237
2.72249529766965	2.60426954356995	4.30539901518743	-5.33736347896711	11.6173132146347
2.80749599330661	2.71187329364602	4.18641342786112	-5.24547932530372	11.3916518922292
2.99541454291131	2.94921652221862	4.28489429649672	-5.13357938622866	11.5508321716311
-3.68059742891834	-3.58819642750582	4.35973935357791	-12.6301723916724	4.60527141323422
-3.19363656026679	-3.13912270495838	4.40019416845466	-12.036404297166	5.10491511325425
-3.08334630318767	-2.99209375082806	4.40173054464934	-12.1745674038237	5.14609234483864
-2.77323345604301	-2.62213990854944	4.39129955349803	-11.7730910405693	5.46069351205428
2.41678856602622	2.34192660834037	4.43183515767498	-6.01231769045255	11.4145159100377
2.79559887614647	2.6900262900945	4.42042426055771	-5.50790107537176	11.8339107764511
2.90267373041549	2.8021088527847	4.33611433523096	-5.34155131882353	11.5191943413125
3.10208435477129	3.01569940093809	4.4150706853244	-5.24337768332069	12.0997362169671
-3.86348608877735	-3.76100879155186	4.45581816193722	-12.9007375318697	4.50047801539764
-3.27769862787175	-3.22400424206483	4.5185561921252	-12.2884822082724	5.31685255914657
-3.1801646191853	-3.06743658707208	4.51771341036596	-12.4611208120172	5.26796550900494
-2.86153276189374	-2.72405363773088	4.51812114124424	-12.0189068217047	5.63665457223101
2.43883834739123	2.33297753221314	4.57943428142612	-6.16196714272192	11.6852257931847
2.84705279085953	2.74855630718698	4.54758509665476	-5.62083596118854	12.0658128290376
2.96340915483547	2.89076466984644	4.45915406653783	-5.64746289315064	11.8786160144686
3.20291508390744	3.10537088663376	4.55722949242831	-5.34795232960242	12.5109667456997
-4.01941521289881	-3.91247294845738	4.5645606161265	-13.190159922582	4.61464618060509
-3.37111421027377	-3.31054684062621	4.6227410546199	-12.5768983695965	5.43950305437954
-3.25613950329181	-3.13195444305751	4.61306167672712	-12.7263084917521	5.44841763997257
-2.92096376543657	-2.77249603551694	4.59442491954935	-12.3190812933967	5.74159470412967
2.44953816402629	2.33464759354584	4.65923081766493	-6.37236229820927	11.9145541128671
2.89006092696393	2.76526468728788	4.638132005892	-5.84432442296577	12.2925636706165
3.03068537521094	2.93531100179049	4.5391106168571	-5.64528305400384	12.172261291812
3.25338860496684	3.14263883590533	4.66458467358682	-5.47824738540681	12.7700193708017
-4.099717274135	-3.98505038978618	4.61459078625426	-13.4835474191989	4.62283858643918
-3.45091919916758	-3.36698023513206	4.66699709280906	-12.8395292470673	5.36683718120521
-3.33449964823356	-3.18256096973847	4.67226299125568	-12.8818102423035	5.46882028530989
-2.94286390894983	-2.83981465345635	4.67153021125995	-12.4175998686343	5.84012870952481
2.44286760614851	2.3670349702549	4.74321211969359	-6.72969352732637	11.9420486907036
2.90808630503428	2.81755553208409	4.70744701267271	-5.87363196841105	12.3843057954595
3.08366826325501	2.99213143041174	4.60630972807194	-5.74448015330141	12.2273814415892
3.31431131229999	3.20169781809756	4.73410220054977	-5.53684877569403	12.9385033627886
-4.20659396673366	-4.10913132391735	4.66776330305921	-13.7902862550632	4.64547898732266
-3.51108356245472	-3.41066478784115	4.71945011871698	-13.0210149624839	5.3714099097487
-3.38755060651363	-3.2028281512747	4.71087886803046	-13.0239841958778	5.5632642364603
-2.971690445019	-2.82918204998614	4.72921679806198	-12.6181477156369	6.05196398170193
2.42024746615824	2.30853452884783	4.78349903056955	-6.69065399057189	12.0229302067298
2.91583991619465	2.79643538346902	4.78177045397396	-6.03942300184132	12.6557457612232
